"Philosopher","Influenced_By"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/Platonism"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/Karl_Jaspers"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/Maurice_Merleau-Ponty"
"http://dbpedia.org/resource/William_A._Earle","http://dbpedia.org/resource/Søren_Kierkegaard"
"http://dbpedia.org/resource/Fath_al-Din_Ibn_Sayyid_al-Nas","http://dbpedia.org/resource/Ibn_Hisham"
"http://dbpedia.org/resource/Al-Ma'arri","http://dbpedia.org/resource/Al-Mutanabbi"
"http://dbpedia.org/resource/Al-Ma'arri","http://dbpedia.org/resource/Abu_Tammam"
"http://dbpedia.org/resource/Al-Mutanabbi","http://dbpedia.org/resource/Saleh"
"http://dbpedia.org/resource/Al-Mutanabbi","http://dbpedia.org/resource/Antarah_ibn_Shaddad"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Samuel_von_Pufendorf"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Hugo_Grotius"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Christian_Wolff_(philosopher)"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz"
"http://dbpedia.org/resource/Emer_de_Vattel","http://dbpedia.org/resource/Jean-Jacques_Burlamaqui"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Emily_Brontë"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Lev_Shestov"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Blaise_Pascal"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Georg_Simmel"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Ludwig_Klages"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Philipp_Mainländer"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Arthur_Schopenhauer"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Nicolas_Chamfort"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Nae_Ionescu"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Joseph_de_Maistre"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Teresa_of_Ávila"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Joseph_Joubert"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Constantin_Noica"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/François_de_La_Rochefoucauld_(writer)"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Friedrich_Nietzsche"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Fyodor_Dostoevsky"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Oswald_Spengler"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Paul_Valéry"
"http://dbpedia.org/resource/Emil_Cioran","http://dbpedia.org/resource/Søren_Kierkegaard"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Ernst_Bloch"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Leo_Strauss"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Gershom_Scholem"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Franz_Rosenzweig"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Friedrich_Wilhelm_Joseph_Schelling"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Baruch_Spinoza"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Martin_Buber"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Emil_Fackenheim","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Emil_Lask","http://dbpedia.org/resource/Wilhelm_Windelband"
